Name,lat,lon,dist_from_depo
Ntwago,-2.5113735,30.0170538,102.77129428078868
Mugendo,-2.5285719,29.988335,100.52320294673288
Mugina,-2.5889791,29.957038,93.57783976870599
Murehe,-2.7401452,30.0249353,77.89530768667412
Kagogo,-2.772756,29.1105599,114.17258062239699
Ndava,-3.026235,29.2577883,84.3853819797141
Buramata,-3.1507404,29.3480077,68.84519451537395
Mugina,-4.4223226,29.7496971,110.63217786556058
Gishiha,-4.1066772,29.7087422,77.43286494492328
Martyazo,-4.1369834,29.6985823,80.96521814353132
Gitabi,-4.0584557,29.9394716,69.26801899491844
Mudende,-3.8906652,29.5171845,66.07931139624148
Mutumba,-3.5221903,29.689204,25.401622547775734
Karehe,-2.4456314,30.1798715,113.55926055214172
Nyagisozi,-2.449542,30.3005909,117.54442995642206
Gacu,-2.4579892,30.4395525,123.40579916113126
Mihigo,-2.4805919,30.4636345,122.57413991646514
Gatoke,-2.4279053,30.4855556,128.83082013931252
Kinanira,-2.428094,30.5261423,131.1509352163856
Muzenze,-3.02327,30.7579157,105.58284465700027
Bunyerere,-3.2939541,30.7063804,90.92730809296017
Gatimbiri,-3.6187516,30.2849483,47.43363045886321
Mpinga,-3.7366905,30.1743126,45.324897196620164
Jene,-2.8526694,29.6105985,71.81235661773579
Korineza,-2.9784708,29.7390686,53.38002406092302
Rukago,-2.9873336,29.7271392,52.92444058470223
Bugoma,-2.4320981,30.4303527,125.4317859045966
Kabanga,-2.5103763,30.3122463,111.87233655204993
Musave,-3.8366896,29.3934089,71.81389086212619
Banga,-3.1206152,29.6103184,47.244116518958535
Gahandu,-4.1401748,29.6755686,82.04467610255645
Bwatemba,-4.0818918,29.6361319,77.47887606762212
Kajabure,-3.9831896,29.564168,71.33854645736285
Mugoyi,-3.4635087,29.5607997,37.8394249089429
Bukeye,-4.3001452,29.9149764,95.86960688827435
Minyare,-3.2182246,30.4910928,69.86267092308275
Muhama,-4.190561,29.9616822,84.01713009914921
Nyamutobo,-3.4662387,30.2597128,40.13657601694412
Kizenga,-3.9896767,30.0366428,63.36841752267596
Nyankanda,-3.9765801,30.1626772,66.787225628249
Rubaho,-3.854579,30.2203968,58.62678175441899
Birambi,-2.7874155,29.9001266,71.42033118675337
Rukeco,-2.9051429,29.752076,60.67264428776432
Rwegura,-2.9175406,29.52884,70.38819589845963
Mihigo,-2.8496427,29.7444955,66.81393467956332
Mutwenzi,-2.5668347,30.0639819,97.53019491048532
Bukuba,-2.6846254,30.0793169,85.1524340506708
Mudida,-2.6886465,30.072168,84.53675947482577
Muramba,-2.6874626,30.0349093,83.82519168833538
Nyabigina,-4.3616603,29.6644035,105.93974590810555
Nyabibondo,-3.4432636,29.4846463,46.1674384226018
Remesha,-3.1904428,29.4060874,61.10791598774688
Nyakuguma,-4.0040795,29.8679016,63.21684097228386
Rweza,-3.2971295,29.609602,35.61154835939939
Micokora,-2.917874,29.5146825,71.29239043080291
Rugazi,-2.844538,29.4928692,79.28700147444988
Giko,-3.2072952,29.6447293,37.80700629232974
Martyazo,-3.2797869,29.4562589,52.152789986767026
Gitaramuka,-3.4690726,29.3674696,59.3062866151189
Gitsiro,-4.0070518,29.5592609,73.87812366263249
Benga,-3.3202204,29.4417833,52.433268967693365
Bugeni,-4.060291,29.6478121,74.77767315251597
Bunywera,-2.5008707,30.3768694,115.93611370964435
Rwisabi,-3.0950977,29.8693602,37.55241066892379
Murongwe,-3.2065023,29.8954044,25.0840362092267
Kibungo,-3.2376153,29.8954373,21.644370021295085
Kibimba,-3.2960969,29.7986001,18.898605183481727
Mutara,-3.1921816,30.1908788,41.903448491077576
Ryamukona,-2.8176743,29.5925142,76.17275841143062
Mivo,-2.9413812,29.794818,55.63738219039081
Kabere,-2.9342474,29.7697527,57.05139314563693
Kaburantwa,-2.996666,29.2218435,89.51182845137689
Shinge,-2.9731284,30.5675261,89.96598831068958
Buhoro,-3.0294739,30.7252526,102.01380476925853
Rubangabanga,-2.991138,30.8229015,113.63299057121036
Kabagari,-3.0424537,30.789315,107.87679536480249
Kamonyi,-3.0418839,30.735674,102.46882391336909
Giseke,-3.0605168,30.7164974,99.670614910205
Gishungo,-3.0694922,30.6816656,95.7376786002874
Kageyo,-3.3359293,30.5615617,74.30137334928956
Gacokwe,-3.4312664,30.5527194,72.53127426779555
Buhonga,-3.64659,30.3294867,53.22993603215358
Sigu,-2.4102624,30.3630382,124.28659616663113
Ngara,-2.4661805,30.3986609,120.45630439173385
Bukobe,-2.5022442,30.4640199,120.54458290292412
Murambo,-2.4628024,30.1293772,110.30304538365147
Bamba,-2.9886581,29.4139019,73.05089300608864
Ntamba,-2.9831984,29.4366357,71.62075317833754
Mukugu,-2.9987689,29.4670001,68.0062210008574
Yandaro,-2.8395623,29.5886781,74.21542927858373
Kavoga,-2.9098218,29.5686167,68.61017519086805
Rwamiko,-2.9754205,29.6039722,60.382901735833244
Murangara,-2.9989761,29.5834189,59.536847311542836
Kigarama,-2.8534633,29.9054769,64.11985456256417
Ruyenzi,-2.8187495,29.8066916,68.74243654363426
Kiziba,-2.8355377,29.8138705,66.78883144071756
Mureke,-2.9753579,29.8716228,50.7363371683817
Nyamugari,-2.7889886,29.9202326,71.28186814511604
Kivoga,-3.8846892,30.1198753,55.57052125354779
Muramba,-2.9891644,30.3547679,70.47541087180325
Rutongo,-3.6406238,29.4573194,54.26615290297693
Mubogora,-3.0679786,29.8162619,41.45466816004618
Ruziba,-2.7022023,29.0994907,120.22429167096577
Maranvya,-2.6884332,29.0964437,121.50252597262356
Mitakataka,-3.1362637,29.3642411,68.00152359423024
Nyamakarabo,-2.6536835,29.0886238,124.7674136880371
Magongwe,-2.5999185,29.0864888,129.11446639808022
Mayuki,-2.743656,29.2155269,107.72349011422926
Mumbanza,-2.767841,29.0409183,120.55549182157814
Miduha,-2.7926934,29.0496548,118.11863685232156
Murambi,-2.9111906,29.1417398,102.15847748253616
Ruhagarika,-2.9499854,29.1760075,96.60058684238737
Muyange,-3.1313923,29.3348839,71.12726677974928
Misaba,-4.0908122,29.8728651,72.76953742886948
Buringa,-3.2720348,29.3178957,67.10222419119886
Kibumbu,-3.530804,29.7466248,20.16653661568704
Ntita,-3.6807721,29.8775542,27.47850874975064
Mukindu,-3.1594214,29.2541413,77.90584306836557
Rukaramu,-3.2924911,29.3050782,67.92185306613455
Gihumgwe,-3.1363547,29.2964681,74.6809942377101
Murengeza,-3.209257,29.3688006,64.02181853560556
Muzinda,-3.2617773,29.420758,56.53499073376006
Murago,-3.2507386,30.696341,90.77173234447523
Camazi,-3.2001609,30.771806,100.25861606946772
Buye,-2.8639782,29.818306,63.6057652131735
Gisuka,-2.8256855,29.9447461,67.3723912597005
Bahizi,-2.5329912,30.2237361,105.8591994904028
Murambi,-3.6171769,29.8286571,21.823381857982362
Bartye,-3.5240144,30.1718853,31.83253881431623
Muterama,-4.3372084,29.8143479,100.40530945859362
Gahororo,-4.2196808,29.8066961,87.57276385726045
Mivo,-4.2312055,29.7919127,89.0448159516117
Musaswe,-4.2812041,29.873911,93.8054244551907
Nyabigina,-4.1293788,29.8496011,77.17509275751196
Mahinda,-4.1043302,29.8959755,74.20325270770887
Bigomogomo,-3.9396505,29.8144992,56.79159083173107
Kabebe,-3.2521772,30.8185698,104.02805155787684
Murore,-3.1881445,30.6621024,88.92875266392622
Mwaka,-3.6521496,29.9347255,24.505702775477108
Nyamagandika,-3.6377383,29.9703832,23.920881514147034
Nyabitanga,-3.6579245,29.9018392,24.839486235677512
Rubande,-3.4804853,29.9290538,6.135691558251385
Songa,-3.4662307,29.9531866,6.941801875366525
Bitare,-3.2645515,29.9043267,18.666076711355213
Teka,-3.1331744,29.8736287,33.31642869811969
Nyangungu,-3.1019063,29.89702,36.646311565368755
Kidahanwa,-3.0634327,29.908262,40.909435755465424
Nyamugari,-3.0117966,29.8931612,46.615111658802434
Mutobo,-3.0115238,29.9132322,46.66226182033256
Nzunga,-3.0075473,29.9734142,47.78066007364377
Gasuru,-2.8621086,30.2858826,76.34794716922107
Nyeshanga,-3.2044516,29.3215275,69.08916144713292
Murira,-3.181736,29.3264765,69.54441580735653
Rugunga,-3.1241672,29.3149693,73.45754498718696
Randa,-3.1595075,29.3644712,66.77458397418775
Burarana,-3.5994544,29.9523109,19.27054399383571
Ramba,-3.5090664,29.3438912,62.358310107925135
Kibingo,-3.6463726,29.3374504,66.79734146530272
Kashi,-3.6751153,29.330762,68.66646344399298
Rutumo,-3.7353248,29.3259916,71.98976640801503
Munege,-3.9006158,29.4006172,75.81635156769758
Kibumba,-3.9589844,29.4540659,76.37476786741965
Rukinga,-3.9460261,29.449966,75.59059097035633
Kayabazi,-4.067063,29.4938421,83.34786540607823
Maguruka,-4.2376122,29.5487862,97.11910069411535
Mukarimbi,-4.3168466,29.6613522,101.23354327598908
Gitaba,-4.0387317,29.762199,68.675745872669
Burenza,-4.0379339,29.7279934,69.53645802541165
Ndago,-3.8826301,29.6511277,56.86088062901789
Buta,-3.8443955,29.9747052,46.20984648796461
Kayange,-3.1025928,29.4672018,60.42341866926642
Gitohwe,-3.4779725,29.5996768,33.735070418226385
Mpumbu,-3.49406,29.6007853,33.92005540961667
Ruko,-3.6180121,29.5925594,39.8004808462809
Ntentamaza,-3.6565207,29.5981061,41.6459981453646
Musasa,-3.7991203,29.7290412,44.68900414325057
Muyaga,-3.2468798,30.5472882,74.82955183718947
Mutobo,-3.1188458,30.5512193,80.29509207117302
Gikurazo,-4.2175528,29.8271904,87.09833466585748
Kabanga,-4.2210597,29.8483734,87.2984028438857
Cimabare,-3.9857052,29.5421777,72.87885456858318
Gwiti,-3.1322385,30.7079596,95.76745941747286
Ruyaga,-4.006987,29.6936082,67.45370106164142
Muremera,-3.3318803,29.900942,11.215290508569778
Rukoma,-4.0983476,29.7239289,76.09663846181277
Ruhehe,-3.0972917,30.789132,105.57220011454277
Butemba,-3.7690221,29.9905126,38.46157853545664
Bigoti,-3.8091062,29.5519114,56.76661161463454
Nkuba,-4.1766636,29.781792,83.24256143811336
Nyetongwe,-4.1478024,29.7845452,80.04308954424509
Ninga,-3.2390602,29.3165223,68.30780275696553
Gahama,-4.0170856,29.66178,69.76782673023303
Gisenyi,-4.2060264,29.7626143,86.79939589648274
Kaganza,-4.0849896,29.5956591,79.59891111426548
Kanyinya,-4.1946756,29.7598607,85.6191506313124
Rubindi,-4.2590371,29.5655467,98.57662694695048
Rukina,-3.5263097,29.5170121,43.7811108451478
Muyebe,-3.4932621,29.7916392,13.745696341297494
Mariza,-3.7796447,29.4050991,67.007202174519
Bubera,-3.918326,29.5030809,69.43256799129553
Ruhora,-3.8201367,29.5054468,61.24702673977062
Cewe,-3.8108157,29.5169565,59.61236680237234
Mubanga,-3.8657525,29.7025471,52.61129498562406
Mwurire,-3.7598448,29.6468929,45.76700938419248
Kiruri,-3.7916677,29.6081538,51.20234702816768
Kigutu,-4.0491938,29.5423064,78.84830467284674
Nyagatovu,-3.5622152,29.594594,36.80730005191528
Itwe,-3.5452685,29.6241708,33.05502073064703
Musimba,-3.3244154,29.620592,33.302560543779855
Nyamirambo,-3.1563444,29.6183537,43.791182169400976
Mpinga,-3.1353012,29.5910705,47.58828731363051
Mparo,-3.1403114,29.6239469,44.61936772394118
Butwe,-3.0597411,29.6740772,48.34027021033398
Giytwenge,-3.0376445,29.6962782,49.26253472383068
Gahororo,-3.0272299,29.7255517,48.909569819189734
Musama,-2.9541808,29.6745985,58.60472490062191
Kigarama,-2.9418892,29.7248225,57.72210911381322
Kabuye,-2.8952425,29.6641365,65.01697294217196
Kirehe,-2.8517836,29.5512867,75.08134750367468
Kibaya,-2.9044685,29.5330092,71.29840884382706
