,id,a
670,6828134634,Nyamabuye
671,6828134635,Gitwe
672,6828354836,Bugongo
673,6828354837,Murara
674,6829102880,Rurira
675,6829102881,Nyabugeni
676,6830828128,Nyarurambi
677,6830828129,Kivumu
678,6830828130,Rjungu
679,6830828131,Mashiga
680,6830828136,Kibungo
681,6830828137,Rwamvura
682,6830828138,Rusagara
683,6830828139,Rusagara
684,6830828140,Nyabigugu
685,6830828141,Gitanga
686,6830828173,Saswe
687,6830949991,Mburi
688,6830949992,Ruramba
689,6830949993,Nkoro
690,6830949994,Gisoko
691,6831202574,Buheka
692,6831202575,Gasaba
693,6831653920,Kigaza
694,6842041422,Remesha
695,6853806531,Narunyazi
696,6853806578,Kiyange
697,6853806886,Karongwe
698,6853806887,Mabago
699,6853806900,Shori
700,6853937672,Maranvya
701,6855520191,Kinyovu
702,6856284598,Nyembuye
703,6858598335,Mugomera
704,6859130155,Nyungu
705,6859161311,Kagozi
706,6859179214,Murima
707,6867615076,Muyaga
708,6873401302,Kananira
709,6873401348,Kiyanza
710,6873401449,Rugongo
711,6873493051,Kirambi
712,6873665211,Kirambi
713,6887360771,Ngina
714,6887366736,Rongero
715,6894159803,Bucana
716,6894185370,Shango
717,6896675334,Rushiha
718,6898234617,Dusenga
719,6903998052,Rugongo
720,6903998053,Kabuyenge
721,6903998056,Gashirwe
722,6904063095,Mayuyu
723,6910645528,Nyakayi
724,6910659569,Miguruka
725,6910676606,Dutwe
726,6910676607,Bikobe
727,6913005788,Kizuga
728,6917106271,Ruranga
729,6925672722,Gisikara
730,6960024757,Kidasha
731,6970380700,Gakana
732,6996339054,Rusamaza
733,7003551633,Vyanzo
734,7021497368,Rusi
735,7103331350,Buruhukiro
736,7137328706,Humure
737,7139783411,Nyaruganda
738,7144537014,Mubavu
739,7237100362,Gasunu
740,7252129336,Tura
741,7326209870,Nkanda
742,7326220128,Gahararo
743,7347078691,Ruvuga
744,7347078696,Bikobe
745,7347078709,Budatekwa
746,7347078710,Gikombe
747,7347078711,Mukerezi
748,7351713776,Buyongwe
749,7351762286,Murehe
750,7354911153,Rutongwanikwa
751,7354911154,Kiryama
752,7354911172,Rutegama
